"size";"naive";"better";"blas"
100;0.027210;0.027143;0.002654;
100;0.027217;0.027106;0.002692;
100;0.027248;0.027127;0.002643;
200;0.222343;0.216423;0.024788;
200;0.223311;0.216874;0.024424;
200;0.222122;0.216700;0.024423;
300;0.803839;0.734028;0.081421;
300;0.764060;0.732183;0.080500;
300;0.752339;0.730896;0.086514;
400;2.369514;1.793268;0.373645;
400;2.367765;1.780998;0.361947;
400;2.340089;1.777511;0.370112;
500;5.064820;3.512982;0.819675;
500;5.008237;3.483423;0.817553;
500;4.994815;3.488176;0.803963;
600;8.914508;6.048751;1.579972;
600;9.198388;6.016847;1.402287;
600;8.655590;6.017050;1.451747;
700;14.462109;9.583979;2.818762;
700;15.072939;9.575428;2.577157;
700;15.081818;9.591897;2.249246;
800;23.548101;14.335122;3.909519;
800;24.575166;14.437231;3.457946;
800;23.687963;14.430938;3.361318;
